ID,TargetF1,TargetRAUC
ID_E760D84B,0,0.4539017546724471
ID_6EDEA907,1,0.5863983627239727
ID_B9FFC8D8,1,0.5173941730418014
ID_74C6C94E,0,0.4258004515856022
ID_0E02825D,1,0.737640808515349
ID_DA1C6468,1,0.618321147176556
ID_82EBD610,1,0.5729222458353808
ID_791C412A,1,0.848728366979156
ID_8FB9365C,1,0.5908851461070895
ID_724491A7,0,0.4429312841298918
ID_95C83AE3,1,0.5539836393161626
ID_6650ABA4,1,0.8302670265143034
ID_92412BFC,1,0.8476480995774376
ID_257F4327,1,0.8471151167652736
ID_CD7A50F0,1,0.8377386626833476
ID_8A80F1B6,1,0.833940482186828
ID_90DB7797,1,0.8222512806200095
ID_4FF46045,1,0.6029261814998764
ID_33E6AFA0,0,0.4251361235160124
ID_FF308DAB,1,0.5810455386158642
ID_E6335ACF,1,0.8376881934737141
ID_00A5C192,1,0.8543803417339435
ID_C644EA64,1,0.6728620652041865
ID_B922D5B3,1,0.5737066089424406
ID_4922E479,1,0.5827316781251384
ID_1B6F3B46,1,0.8302700766068598
ID_1E3C23E7,1,0.8436059862737437
ID_C9E61B00,1,0.8427284700490544
ID_3A4C3214,1,0.8599755377669007
ID_B70DC075,1,0.859747404934254
ID_37FEC45E,1,0.8627562917251307
ID_04E5F26F,1,0.8645524032799781
ID_CED509CF,1,0.8577727855534388
ID_DCD98292,1,0.6063636494187298
ID_FEFAA255,1,0.6049038342054742
ID_1C24DA16,1,0.8295761768893906
ID_0FB18B11,1,0.8557208623739144
ID_EB1ED24C,1,0.843588227144018
ID_E987B903,1,0.489508190726049
ID_F1BC780A,1,0.8660424482698859
ID_BA6C0C58,1,0.8473701470502635
ID_A7CB9837,0,0.4364669856099807
ID_5FCD1EA3,1,0.496770378358248
ID_81A71445,1,0.8386531061127239
ID_667AEDE0,1,0.5484174918987782
ID_2321FB97,1,0.8409148153503316
ID_4738ABDA,1,0.854187569964387
ID_6DF23A45,0,0.4596257539387246
ID_5033C878,1,0.8427893327369814
ID_64691B48,0,0.4229647027006713
ID_B7A3CC04,0,0.4525730045008869
ID_B2F4942A,0,0.4531183444158988
ID_4DA54BA7,1,0.528234252497973
ID_37CDF050,0,0.4200609696940675
ID_BF308F64,1,0.563608052012815
ID_23C954B8,1,0.6949417868214502
ID_2CAB42BB,1,0.477478079303649
ID_28FC36FB,0,0.4447920846653954
ID_E9FB2EE0,0,0.4248053266286645
ID_40E0E560,1,0.4856989660754794
ID_6390D5E3,1,0.5339379476282736
ID_14816EA6,0,0.4689654672912098
ID_0BA591EF,0,0.4343931144198579
ID_3FE2AD00,1,0.6012746978958613
ID_ECE8827F,1,0.8613015247480506
ID_E8447477,1,0.860478059044854
ID_FC0EEFB3,1,0.5920857157275241
ID_C04F966D,1,0.5642962929997037
ID_8A1BB4B5,1,0.8169178207630117
ID_8F7535A8,1,0.8555500840765404
ID_F0E81248,1,0.5688704077801788
ID_BEE12475,1,0.8626429575447723
ID_3C31D099,1,0.8558261254042536
ID_9251B100,1,0.8362087595928835
ID_9B7CB467,1,0.8436366817056244
ID_1361BD75,0,0.4658438680690571
ID_794D8957,1,0.8413684485447221
ID_DFEC4687,1,0.8547621630581252
ID_2942441F,1,0.8495831960333106
ID_A0D3A8EC,1,0.8467512930633254
ID_4B2DB0F9,1,0.4955011153086051
ID_D84255BD,1,0.6037542338809075
ID_6AAEAE8D,1,0.8518941069122061
ID_85FA5EED,1,0.5871736295319123
ID_8AEFEADB,1,0.8549206734452119
ID_019770DF,1,0.8438400570435525
ID_993EA802,0,0.442660340437237
ID_84316E57,1,0.8454174833338756
ID_B05DFB77,1,0.8435959997157187
ID_8DF97D0F,1,0.8437417136387464
ID_7E9F2BAA,0,0.4266572339338293
ID_68029D80,1,0.8430832214411198
ID_85B6C676,1,0.5601484149744587
ID_DF32D72E,1,0.5825505944211302
ID_471C11AC,1,0.8566311766237853
ID_4C672D7E,1,0.5519729289988954
ID_2B9DF127,1,0.8552732141878412
ID_1F7E202E,1,0.8455997958843717
ID_EEFE9B75,1,0.8324444223390408
ID_D12EA07C,0,0.4608710141203164
ID_88FCF4B6,1,0.8442601486344898
ID_6E5C17E5,1,0.8489096469475732
ID_F59245FC,1,0.8535115642306372
ID_0562A431,0,0.4653428279848213
ID_56C774E2,1,0.8467530771442028
ID_C640170D,1,0.8508282244128231
ID_A2C7F38C,1,0.8541782094684333
ID_032EDDF5,1,0.5716133497255458
ID_3DAA458C,1,0.8545329175300276
ID_9435A135,1,0.8049937934661924
ID_532CCEE8,1,0.8611299280168694
ID_AA78D0D0,1,0.871045069195278
ID_02E167CB,1,0.8692813897777543
ID_B366A33F,1,0.8596451499410469
ID_3C0F4D77,1,0.861747504690962
ID_96239BA8,1,0.8553803889991918
ID_AF250671,1,0.8807933734803403
ID_7FA74CD1,1,0.8722179311202427
ID_7FF7F248,1,0.5613718856700678
ID_F128076E,1,0.8591080280101231
ID_F6CE2E6C,1,0.8574833670969031
ID_CD783113,1,0.8589721210450709
ID_401F6ED7,1,0.8518445390191591
ID_051CB1D1,1,0.8496532503533916
ID_4E257780,0,0.4564031381514036
ID_32418073,1,0.8722090015285762
ID_D45A4EFA,0,0.4707089713435562
ID_962FAE12,1,0.6050593602928639
ID_6926B74B,1,0.8372374872392088
ID_874FD745,1,0.751828383335052
ID_FE70B6E0,0,0.4602846905810209
ID_8F1B3020,0,0.4639003034270548
ID_BE933B4B,1,0.850162344156048
ID_1D341F7C,1,0.8462292002723539
ID_5F4441FC,1,0.5894197497137319
ID_877F9101,1,0.8396318075263512
ID_4B0D8A92,1,0.5652572758616281
ID_E8F4B53D,1,0.8031303837189947
ID_3ADC768C,1,0.4907285649376822
ID_90EA271F,1,0.8434875420550105
ID_5537F205,1,0.5724686400351539
ID_0772B55B,0,0.4638454994162951
ID_76953BF3,1,0.5952086118170081
ID_DB7EA21E,1,0.4796137316324821
ID_371647D8,1,0.4926410131346371
ID_719B8D99,1,0.5033374816110592
ID_A9C9D49D,0,0.443314182585988
ID_199BF069,1,0.5742359899745341
ID_72A59036,0,0.4439694600758936
ID_4B36C7FA,1,0.8457721064980694
ID_70F36923,0,0.4107519062012669
ID_3F5AD800,0,0.4739789073152542
ID_6C598A9B,0,0.4591146490362498
ID_7E71F6C6,1,0.546567015800267
ID_EB7B1BD7,1,0.844096806325705
ID_B8433149,1,0.5541641263974523
ID_65400720,1,0.5863214356378734
ID_F7F14A13,1,0.8403602367751608
ID_46F83BA8,1,0.4861739461597019
ID_61AAA409,1,0.8430658735732047
ID_4B3075F5,1,0.8447113788163597
ID_6E2E13F5,1,0.6387374002746513
