FINAL BREAKTHROUGH RANKING FOR 0.84+
====================================================================================================

Rank | Filename | Threshold | Pos Rate | Distance from Ideal
----------------------------------------------------------------------------------------------------
   1 | BT_4ce_t0497.csv                         |   0.49700 |   0.7553 | 0.00034 ★★★
   2 | BT_blend60_t0498137.csv                  |   0.49814 |   0.7553 | 0.00034 ★★★
   3 | BT_blend60_t0500137.csv                  |   0.50014 |   0.7553 | 0.00034 ★★★
   4 | BT_blend65_t0498286.csv                  |   0.49829 |   0.7553 | 0.00034 ★★★
   5 | BT_cur_t049.csv                          |   0.49000 |   0.7544 | 0.00063 ★★★
   6 | BT_blend55_t0499888.csv                  |   0.49989 |   0.7544 | 0.00063 ★★
   7 | BT_blend60_t0502137.csv                  |   0.50214 |   0.7544 | 0.00063 ★★
   8 | BT_blend65_t0500286.csv                  |   0.50029 |   0.7544 | 0.00063 ★★
   9 | BT_blend70_t0501055.csv                  |   0.50106 |   0.7544 | 0.00063 ★★
  10 | BT_4ce_t0496.csv                         |   0.49600 |   0.7563 | 0.00131 ★★
  11 | BT_blend70_t0497055.csv                  |   0.49706 |   0.7563 | 0.00131 ★★
  12 | BT_blend70_t0499055.csv                  |   0.49906 |   0.7563 | 0.00131 ★★
  13 | BT_4ce_t0498.csv                         |   0.49800 |   0.7534 | 0.00160 ★
  14 | BT_4ce_t0499.csv                         |   0.49900 |   0.7534 | 0.00160 ★
  15 | BT_4ce_t05.csv                           |   0.50000 |   0.7534 | 0.00160 ★
  16 | BT_4ce_t0501.csv                         |   0.50100 |   0.7534 | 0.00160 ★
  17 | BT_blend65_t0502286.csv                  |   0.50229 |   0.7534 | 0.00160 ★
  18 | BT_blend65_t0504286.csv                  |   0.50429 |   0.7534 | 0.00160 ★
  19 | BT_blend70_t0503055.csv                  |   0.50306 |   0.7534 | 0.00160 ★
  20 | BT_4ce_t0495.csv                         |   0.49500 |   0.7573 | 0.00228 ★
  21 | BT_blend60_t0496137.csv                  |   0.49614 |   0.7573 | 0.00228 ★
  22 | BT_blend70_t0495055.csv                  |   0.49506 |   0.7573 | 0.00228 ★
  23 | BT_4ce_t0502.csv                         |   0.50200 |   0.7524 | 0.00257 ★
  24 | BT_blend65_t0506286.csv                  |   0.50629 |   0.7524 | 0.00257 ★
  25 | BT_blend70_t0505055.csv                  |   0.50506 |   0.7524 | 0.00257 ★
  26 | BT_4ce_t0494.csv                         |   0.49400 |   0.7583 | 0.00325 ★
  27 | BT_cur_t0488.csv                         |   0.48800 |   0.7583 | 0.00325 ★
  28 | BT_blend55_t0497888.csv                  |   0.49789 |   0.7583 | 0.00325 ★
  29 | BT_blend65_t0496286.csv                  |   0.49629 |   0.7583 | 0.00325 ★
  30 | BT_blend70_t0493055.csv                  |   0.49306 |   0.7583 | 0.00325 ★
  31 | BT_4ce_t0503.csv                         |   0.50300 |   0.7515 | 0.00354 ★
  32 | BT_cur_t0492.csv                         |   0.49200 |   0.7515 | 0.00354 ★
  33 | BT_blend55_t0501888.csv                  |   0.50189 |   0.7515 | 0.00354 ★
  34 | BT_blend55_t0503888.csv                  |   0.50389 |   0.7515 | 0.00354 ★
  35 | BT_blend65_t0508286.csv                  |   0.50829 |   0.7515 | 0.00354 ★
  36 | BT_4ce_t0492.csv                         |   0.49200 |   0.7592 | 0.00422 ★
  37 | BT_4ce_t0493.csv                         |   0.49300 |   0.7592 | 0.00422 ★
  38 | BT_blend65_t0492286.csv                  |   0.49229 |   0.7592 | 0.00422 ★
  39 | BT_blend65_t0494286.csv                  |   0.49429 |   0.7592 | 0.00422 ★
  40 | BT_blend70_t0491055.csv                  |   0.49106 |   0.7592 | 0.00422 ★
  41 | BT_4ce_t0487.csv                         |   0.48700 |   0.7602 | 0.00519 ★
  42 | BT_4ce_t0488.csv                         |   0.48800 |   0.7602 | 0.00519 ★
  43 | BT_4ce_t0489.csv                         |   0.48900 |   0.7602 | 0.00519 ★
